Patient ID,association,dataset,threshold value,standardized value,,,,,,,,,
I19499,HCC12,Klijn et al.,,,,,,,,,,,
I19500,volunteers,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19501,Carcinomatosis,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I19502,peak,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19503,ceramide translocation,GO Biological Process Annotations 2023,1,null,,,,,,,,,
I19504,EHHADH,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19505,Nelfinavir,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I19506,nonhodgkin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19507,five,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19508,brain microvascular endothelial cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.887133,,,,,,,,,
I19509,stoichiometry,Phosphosite Textmining Biological Term Annotations,1,null,,,,,,,,,
I19510,anterior (rostral) cingulate (medial prefrontal) cortex_2 yrs_F_12979,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,1,0.987342,,,,,,,,,
I19511,pten,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19512,Diarrhea,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19513,Renal Insufficiency,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19514,Anemia,,,,,,,,,,,,
I19515,epilepsy syndrome,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.504973,,,,,,,,,
I19516,renal insufficiency,GAD Gene-Disease Associations,1,null,,,,,,,,,
I19517,plant,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19518,greater,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19519,Topotecan,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I19520,Poisoning,CTD Gene-Disease Associations,1,2.88009,,,,,,,,,
I19521,bsep,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19522,FN1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19523,intuitively,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19524,cyp2c93,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19525,developing,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19526,vectorial,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19527,brain cancer cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.1543,,,,,,,,,
I19528,cyp3a422,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19529,outlined,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19530,RVH-421,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I19531,observations,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19532,survival,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19533,tiagabine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I19534,eventfree,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19535,Stevens-Johnson Syndrome,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19536,Bipolar Disorder,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19537,mainly,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19538,oxaliplatinbased,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19539,organelle,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,1.49606,,,,,,,,,
I19540,shortchain,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19541,Valproic Acid,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I19542,Erythema,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19543,hsa-miR-4282,TargetScan Predicted Nonconserved microRNA Targets,1,1.7397,,,,,,,,,
I19544,sf-9 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.857574,,,,,,,,,
I19545,leaf,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.731442,,,,,,,,,
I19546,fluvastatin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19547,surgery,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19548,19074828-TableS4,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I19549,hela cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.866842,,,,,,,,,
I19550,hexylcaine-5768,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I19551,arthritis,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.489691,,,,,,,,,
I19552,responses,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19553,establishment,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19554,formononetin,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I19555,hcmec/d3 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.852106,,,,,,,,,
I19556,familial mediterranean fever,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.345675,,,,,,,,,
I19557,brain neoplasms; glioblastoma,GAD Gene-Disease Associations,1,null,,,,,,,,,
I19558,lymphoma,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19559,several,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19560,Steroid-Sensitive Nephrotic Syndrome,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19561,modifications,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19562,H3K4me3_choroid plexus epithelial cell_hg19_2,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I19563,abnormal hippocampus neuron morphology,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I19564,clopidogrelrelated,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19565,CD8_Naive_Primary_Cells,Roadmap Epigenomics Cell and Tissue Gene Expression Profiles,1,0.833145,,,,,,,,,
I19566,limit,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19567,nucleotide,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19568,GTEX-X5EB-2626-SM-4E3HZ,GTEx Tissue Sample Gene Expression Profiles,-1,-0.84701,,,,,,,,,
I19569,ctg,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19570,rescue,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19571,phenothiazines,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19572,jugular vein,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.268137,,,,,,,,,
I19573,Birth Weight,CTD Gene-Disease Associations,1,1.07057,,,,,,,,,
I19574,abnormal mononuclear cell morphology,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I19575,susceptibility,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19576,Tuberous Sclerosis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19577,drd2,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19578,Pantoprazole,DrugBank Drug Targets,1,null,,,,,,,,,
I19579,GTEX-NL4W-0011-R8a-SM-2I3G4,GTEx Tissue Sample Gene Expression Profiles,1,1.08697,,,,,,,,,
I19580,steadystate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19581,antiretroviral,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19582,Small Cell Lung Carcinoma,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19583,specific,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19584,Lapatinib,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I19585,Urogenital Neoplasms,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19586,Classical Hodgkin'S Lymphoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19587,acts,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19588,Kidney renal papillary cell carcinoma_KIRP_TCGA-BQ-5891-01A-11R-1592-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I19589,genesis,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19590,norway,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19591,gastrointestinal inflammation,HPO Gene-Disease Associations,1,null,,,,,,,,,
I19592,ciapin1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19593,Constipation,CTD Gene-Disease Associations,1,2.38636,,,,,,,,,
I19594,catalysis,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19595,readily,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19596,failure,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19597,adenocarcinoma,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.759416,,,,,,,,,
I19598,shrna,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19599,SBNO2,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19600,Drug-Induced Tardive Dyskinesia,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19601,inactivation,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19602,individualizing,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19603,GTEX-PLZ5-1126-SM-3P613,GTEx Tissue Sample Gene Expression Profiles,1,1.26371,,,,,,,,,
I19604,High Risk Myelodysplastic Syndrome,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19605,glioblastoma cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.683103,,,,,,,,,
I19606,acute myeloid leukemia,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.58448,,,,,,,,,
I19607,microsatellite,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19608,RXF393,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I19609,BRD-K04546108_-666_MCF7_24.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I19610,GTEX-R53T-0226-SM-48FEH,GTEx Tissue Sample Gene Expression Profiles,1,1.90394,,,,,,,,,
I19611,Anxiety,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19612,Estradiol,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I19613,Coronary Vasospasm,CTD Gene-Disease Associations,1,1.63989,,,,,,,,,
I19614,leukemia,,,,,,,,,,,,
I19615,Gallstones,CTD Gene-Disease Associations,1,1.12703,,,,,,,,,
I19616,osteonecrosis; precursor cell lymphoblastic leukemia-lymphoma,GAD Gene-Disease Associations,1,null,,,,,,,,,
I19617,Neuropsychological Tests,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19618,relapse,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19619,derivatives,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19620,15902281-TableS1d,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I19621,detected,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19622,Liver Diseases,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19623,Multiple Myeloma,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19624,Anemia,,,,,,,,,,,,
I19625,gynecologic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19626,Vomiting,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19627,Quinpirole,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I19628,HCC2688,Klijn et al.,,,,,,,,,,,
I19629,primary motor cortex (area M1,,,,,,,,,,,,
I19630,included,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19631,BRD-K61250553_Loperamide hydrochloride_NCIH1694_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I19632,enhancement,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19633,cell junction,COMPARTMENTS Experimental Protein Localization Evidence Scores,1,0.233497,,,,,,,,,
I19634,pancreas,HPA Tissue Gene Expression Profiles,-1,-0.858021,,,,,,,,,
I19635,colorectal neoplasms; neutropenia,GAD Gene-Disease Associations,1,null,,,,,,,,,
I19636,4,,,,,,,,,,,,
I19637,antagonists,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19638,EBNA2-21746931-IB4-LCL-HUMAN,CHEA Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I19639,creutzfeldtjakob,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19640,describe,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19641,pon1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19642,efl1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19643,cleavage,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19644,b-lymphocyte,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.572018,,,,,,,,,
I19645,like,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19646,Anatomic Breast Cancer,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19647,Stage Iv Gallbladder Cancer Ajcc V8,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19648,Brain Lower Grade Glioma_LGG_TCGA-S9-A6TW-01A-12R-A32Q-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I19649,brain disease,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.916375,,,,,,,,,
I19650,Lymphadenitis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19651,crosstalking,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19652,RCC10RGB,CCLE Cell Line Gene Expression Profiles,1,1.68668,,,,,,,,,
I19653,Stroke,CTD Gene-Disease Associations,1,2.28494,,,,,,,,,
I19654,c3435t,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19655,Anoxia,CTD Gene-Disease Associations,1,1.42211,,,,,,,,,
I19656,introduce,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19657,19286929-SuppTable1,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I19658,index,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19659,rendered,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19660,determination,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19661,Substance-Related Disorders,CTD Gene-Disease Associations,1,1.3716,,,,,,,,,
I19662,PSMA3,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19663,GTEX-X5EB-0008-SM-46MU3,GTEx Tissue Sample Gene Expression Profiles,-1,-1.46782,,,,,,,,,
I19664,PHF20,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19665,salvicinetreated,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19666,Esophageal Neoplasms,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19667,Amlodipine,DrugBank Drug Targets,1,null,,,,,,,,,
I19668,snapshot,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19669,Hepatitis B,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19670,GTEX-WFG7-0008-SM-4LMKB,GTEx Tissue Sample Gene Expression Profiles,-1,-1.07178,,,,,,,,,
I19671,EW-7,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I19672,GTEX-R55C-1726-SM-3GADJ,GTEx Tissue Sample Gene Expression Profiles,-1,-2.05975,,,,,,,,,
I19673,Cleft Lip With Or Without Cleft Palate,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19674,BRG1_DEPLETION_GDS2156_720_mouse_Embryos (maternally depleted),GEO Signatures of Differentially Expressed Genes for Gene Perturbations,1,null,,,,,,,,,
I19675,represent,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19676,HCC1395,Klijn et al.,,,,,,,,,,,
I19677,Steroid Sulfatase Deficiency Disease,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19678,H3K4me3_spleen_mm9_1,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I19679,medical,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19680,chordoma,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19681,DDX51,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19682,HTT-18923047-STHdh-human,CHEA Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I19683,Diplopia,CTD Gene-Disease Associations,1,1.84746,,,,,,,,,
I19684,early,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19685,immune system phenotype,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I19686,crohn's disease,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.757378,,,,,,,,,
I19687,surrounding,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19688,peripheral t-cell lymphoma,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.233183,,,,,,,,,
I19689,Adrenocortical carcinoma_ACC_TCGA-OU-A5PI-01A-12R-A29S-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I19690,artemisinine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I19691,FM-VP4,DrugBank Drug Targets,1,null,,,,,,,,,
I19692,Encephalopathy,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19693,Birth Weight,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19694,Asthenozoospermia,CTD Gene-Disease Associations,1,1.27039,,,,,,,,,
I19695,pumps,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19696,set,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19697,Acute Myeloid Leukemia_LAML_TCGA-AB-2814-03A-01T-0734-13,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I19698,soluble,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19699,BL697 (CC2D1A),NURSA Protein Complexes,1,null,,,,,,,,,
I19700,primary motor-sensory cortex (samples)_19 pcw_F_12885,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,-1,-0.999119,,,,,,,,,
I19701,rosuvastatin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19702,abcc1mrp1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19703,virologic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19704,observation,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19705,aggravate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19706,doses,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19707,Berzosertib,DeepCoverMOA Drug Mechanisms of Action,1,null,,,,,,,,,
I19708,truly,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19709,GTEX-XXEK-1126-SM-4BRUX,GTEx Tissue Sample Gene Expression Profiles,1,0.947409,,,,,,,,,
I19710,best,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19711,sirnas,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19712,abnormality of bone marrow cell morphology,GWASdb SNP-Phenotype Associations,1,0.203145,,,,,,,,,
I19713,Solid Neoplasm,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I19714,down,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19715,GTEX-S4Z8-0008-SM-33HAZ,GTEx Tissue Sample Gene Expression Profiles,-1,-2.48523,,,,,,,,,
I19716,behavioral abnormality,GWASdb SNP-Phenotype Associations,1,0.087225,,,,,,,,,
I19717,BRD-K89687904_PKCbeta inhibitor_SKM1_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I19718,nervous system,TISSUES Experimental Tissue Protein Expression Evidence Scores,1,0.766457,,,,,,,,,
I19719,cord,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19720,cannot,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19721,phagocytic vesicle,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.133003,,,,,,,,,
I19722,CL-11,Klijn et al.,,,,,,,,,,,
I19723,PRKCA,MSigDB Cancer Gene Co-expression Modules,1,null,,,,,,,,,
I19724,H3K27ac_spleen_mm9_1,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I19725,Clofazimine,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I19726,apical junction complex,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,1.06246,,,,,,,,,
I19727,located,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19728,Pancreatitis,,,,,,,,,,,,
I19729,Pheochromocytoma and Paraganglioma_PCPG_TCGA-S7-A7WO-01A-11R-A35L-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I19730,GTEX-TML8-0008-SM-4DXUI,GTEx Tissue Sample Gene Expression Profiles,-1,-1.20472,,,,,,,,,
I19731,spectrometrybased,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19732,Amnesia,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19733,tamilian,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19734,imp1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19735,GTEX-RU1J-0008-SM-46MV9,GTEx Tissue Sample Gene Expression Profiles,-1,-1.68291,,,,,,,,,
I19736,TNPO1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19737,CPI-203,DeepCoverMOA Drug Mechanisms of Action,-1,null,,,,,,,,,
I19738,Graft Occlusion,,,,,,,,,,,,
I19739,nonmalignant,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19740,Arrhythmias,,,,,,,,,,,,
I19741,period,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19742,pp5ppp2r3c,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19743,TXN,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19744,hypopharyngeal carcinoma cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.483986,,,,,,,,,
I19745,retention,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19746,serotonin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19747,BRD-A58924247_2-[(chloroacetyl)(4-methoxyphenyl)amino]-N-cyclohexyl-2-pyridin-3-ylacetamide_HCC515_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I19748,substantiating,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19749,Aortic Diseases,CTD Gene-Disease Associations,1,1.11501,,,,,,,,,
I19750,seizures,GAD Gene-Disease Associations,1,null,,,,,,,,,
I19751,KIAA2026,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19752,BRD-K16604360_R(-)-2,,,,,,,,,,,,
I19753,transcriptionally,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19754,PE/CA-PJ15,Klijn et al.,,,,,,,,,,,
I19755,chelerythrine,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19756,GTEX-QDVN-1626-SM-48TZC,GTEx Tissue Sample Gene Expression Profiles,1,0.926892,,,,,,,,,
I19757,Delirium,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19758,18316601-Table1,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I19759,Proteinuria,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19760,pleural fluid,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.59869,,,,,,,,,
I19761,TE1,CCLE Cell Line Gene CNV Profiles,1,1.33927,,,,,,,,,
I19762,DACT1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19763,colorectal adenomas,GAD Gene-Disease Associations,1,null,,,,,,,,,
I19764,hypopharyngeal,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19765,knowing,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19766,FOSL1,MSigDB Cancer Gene Co-expression Modules,1,null,,,,,,,,,
I19767,pesticides,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19768,transition,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19769,MUC3A,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19770,GTEX-WYVS-2326-SM-3NMAI,GTEx Tissue Sample Gene Expression Profiles,-1,-0.850097,,,,,,,,,
I19771,pocket,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19772,crohn,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19773,AGPAT1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19774,fadu cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.485545,,,,,,,,,
I19775,Dehydration,CTD Gene-Disease Associations,1,1.42183,,,,,,,,,
I19776,Tacrine,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I19777,secondline,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19778,earlystage,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19779,Advanced Breast Cancer,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19780,Cardenolides,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I19781,HS 69ST,Klijn et al.,,,,,,,,,,,
I19782,Ritonavir,DrugBank Drug Targets,1,null,,,,,,,,,
I19783,SK-OV-3,Klijn et al.,,,,,,,,,,,
I19784,substrates,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19785,GTEX-WL46-0011-R7A-SM-3LK7X,GTEx Tissue Sample Gene Expression Profiles,1,1.02855,,,,,,,,,
I19786,Refractory Cancer,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I19787,GTEX-WH7G-0008-SM-4LVNM,GTEx Tissue Sample Gene Expression Profiles,-1,-1.5969,,,,,,,,,
I19788,intracellular,COMPARTMENTS Experimental Protein Localization Evidence Scores,1,0.233497,,,,,,,,,
I19789,chemotherapeutic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19790,poland,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19791,Lupus Nephritis,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19792,GTEX-X4XX-0011-R8B-SM-46MWM,GTEx Tissue Sample Gene Expression Profiles,1,0.865361,,,,,,,,,
I19793,regression,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19794,immunoglobulin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19795,OBSCN,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19796,m cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.21673,,,,,,,,,
I19797,Kidney renal papillary cell carcinoma_KIRP_TCGA-A4-7288-01A-11R-A32Z-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I19798,mRNA_NR5A2_19796622,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,-1,null,,,,,,,,,
I19799,Rectum adenocarcinoma_READ_TCGA-AF-2691-11A-01R-A32Z-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I19800,Amsacrine,DrugBank Drug Targets,1,null,,,,,,,,,
I19801,pyrosequencing,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19802,immune,GAD High Level Gene-Disease Associations,1,0.421733,,,,,,,,,
I19803,endoplasmic reticulum,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.506757,,,,,,,,,
I19804,GTEX-QMR6-0011-R8A-SM-32PKJ,GTEx Tissue Sample Gene Expression Profiles,1,0.858227,,,,,,,,,
