Patient ID,association,dataset,threshold value,standardized value
I16112,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16113,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I16114,Pathway Commons Protein-Protein Interactions,1,null,
I16115,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16116,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16117,,,,
I16118,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16119,BioGPS Cell Line Gene Expression Profiles,1,1.67882,
I16120,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.08553,
I16121,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,0.871089,
I16122,GTEx Tissue Sample Gene Expression Profiles,-1,-1.13572,
I16123,CTD Gene-Disease Associations,1,1.1437,
I16124,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16125,CCLE Cell Line Gene CNV Profiles,-1,-1.45204,
I16126,Sanger Dependency Map Cancer Cell Line Proteomics,1,2.52463,
I16127,GeneRIF Biological Term Annotations,1,null,
I16128,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16129,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16130,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16131,GEO Signatures of Differentially Expressed Genes for Kinase Perturbations,-1,-1.8545,
I16132,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16133,Pathway Commons Protein-Protein Interactions,1,null,
I16134,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16135,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16136,Pathway Commons Protein-Protein Interactions,1,null,
I16137,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16138,ENCODE Histone Modification Site Profiles,1,null,
I16139,CHEA Transcription Factor Binding Site Profiles,1,null,
I16140,DisGeNET Gene-Disease Associations,1,null,
I16141,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I16142,TargetScan Predicted Conserved microRNA Targets,1,0.997906,
I16143,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16144,GEO Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16145,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16146,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16147,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16148,CTD Gene-Disease Associations,1,1.65249,
I16149,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16150,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.239913,
I16151,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16152,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16153,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16154,HPA Tissue Sample Gene Expression Profiles,1,0.864096,
I16155,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16156,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I16157,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16158,Klijn et al.,,,
I16159,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16160,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16161,GEO Signatures of Differentially Expressed Genes for Kinase Perturbations,1,1.81372,
I16162,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16163,CTD Gene-Disease Associations,1,1.01587,
I16164,GeneRIF Biological Term Annotations,1,null,
I16165,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I16166,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16167,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.043362,
I16168,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.213283,
I16169,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16170,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16171,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.90001,
I16172,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16173,TargetScan Predicted Nonconserved microRNA Targets,1,0.843347,
I16174,COSMIC Cell Line Gene Mutation Profiles,1,null,
I16175,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16176,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16177,,,,
I16178,,,,
I16179,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16180,GTEx Tissue Sample Gene Expression Profiles,-1,-0.999514,
I16181,GTEx Tissue Sample Gene Expression Profiles,-1,-0.837356,
I16182,Pathway Commons Protein-Protein Interactions,1,null,
I16183,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16184,Roadmap Epigenomics Cell and Tissue DNA Methylation Profiles,1,2.49105,
I16185,,,,
I16186,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I16187,GeneSigDB Published Gene Signatures,1,null,
I16188,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16189,CHEA Transcription Factor Binding Site Profiles,1,null,
I16190,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16191,Pathway Commons Protein-Protein Interactions,1,null,
I16192,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16193,GTEx Tissue Sample Gene Expression Profiles,-1,-0.954744,
I16194,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16195,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16196,ENCODE Histone Modification Site Profiles,1,null,
I16197,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16198,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16199,ENCODE Histone Modification Site Profiles,1,null,
I16200,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16201,GTEx Tissue Sample Gene Expression Profiles,1,1.18787,
I16202,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16203,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.742976,
I16204,CTD Gene-Disease Associations,1,1.39591,
I16205,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16206,CCLE Cell Line Gene CNV Profiles,1,1.90545,
I16207,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16208,GTEx Tissue Sample Gene Expression Profiles,-1,-0.980121,
I16209,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I16210,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16211,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16212,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16213,Pathway Commons Protein-Protein Interactions,1,null,
I16214,,,,
I16215,GTEx Tissue Sample Gene Expression Profiles,-1,-1.09809,
I16216,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16217,GEO Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16218,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,1,null,
I16219,TargetScan Predicted Conserved microRNA Targets,1,0.997906,
I16220,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16221,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16222,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16223,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-1.18059,
I16224,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.67326,
I16225,Klijn et al.,,,
I16226,TargetScan Predicted Conserved microRNA Targets,1,0.517189,
I16227,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.170299,
I16228,GeneRIF Biological Term Annotations,1,null,
I16229,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.02489,
I16230,CTD Gene-Disease Associations,1,1.05089,
I16231,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16232,ENCODE Histone Modification Site Profiles,1,null,
I16233,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16234,GeneRIF Biological Term Annotations,1,null,
I16235,HuGE Navigator Gene-Phenotype Associations,1,null,
I16236,Klijn et al.,,,
I16237,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16238,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16239,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16240,,,,
I16241,ENCODE Histone Modification Site Profiles,1,null,
I16242,ENCODE Histone Modification Site Profiles,1,null,
I16243,Klijn et al.,,,
I16244,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16245,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.117389,
I16246,GTEx Tissue Sample Gene Expression Profiles,-1,-0.839668,
I16247,GTEx Tissue Sample Gene Expression Profiles,1,1.82598,
I16248,GeneSigDB Published Gene Signatures,1,null,
I16249,,,,
I16250,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I16251,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.347511,
I16252,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I16253,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16254,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16255,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16256,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16257,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16258,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16259,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16260,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16261,CTD Gene-Disease Associations,1,1.07199,
I16262,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,1,null,
I16263,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16264,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16265,,,,
I16266,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16267,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16268,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.070509,
I16269,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16270,GTEx Tissue Sample Gene Expression Profiles,-1,-0.9737,
I16271,GTEx Tissue Sample Gene Expression Profiles,1,0.910486,
I16272,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16273,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16274,CCLE Cell Line Gene CNV Profiles,1,1.67741,
I16275,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16276,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16277,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16278,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16279,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.73401,
I16280,GTEx Tissue Sample Gene Expression Profiles,1,1.08459,
I16281,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16282,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16283,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16284,BioGPS Mouse Cell Type and Tissue Gene Expression Profiles,-1,-2.08548,
I16285,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16286,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.47015,
I16287,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16288,GTEx Tissue Gene Expression Profiles,1,2.18987,
I16289,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16290,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.60342,
I16291,GTEx Tissue Sample Gene Expression Profiles,-1,-0.839323,
I16292,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.416147,
I16293,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16294,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16295,CTD Gene-Disease Associations,1,1.58065,
I16296,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16297,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16298,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16299,CTD Gene-Disease Associations,1,1.09011,
I16300,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16301,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16302,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.358183,
I16303,CCLE Cell Line Gene CNV Profiles,1,2.72674,
I16304,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16305,Pathway Commons Protein-Protein Interactions,1,null,
I16306,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16307,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16308,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.633563,
I16309,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16310,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16311,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16312,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16313,GeneRIF Biological Term Annotations,1,null,
I16314,GTEx Tissue Sample Gene Expression Profiles,1,2.31017,
I16315,GEO Signatures of Differentially Expressed Genes for Viral Infections,1,2.16191,
I16316,MotifMap Predicted Transcription Factor Targets,1,null,
I16317,GeneRIF Biological Term Annotations,1,null,
I16318,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16319,TargetScan Predicted Nonconserved microRNA Targets,1,1.55165,
I16320,HPA Tissue Sample Gene Expression Profiles,1,1.08175,
I16321,CTD Gene-Disease Associations,1,1.03678,
I16322,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I16323,GTEx Tissue Sample Gene Expression Profiles,-1,-0.866972,
I16324,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.9811,
I16325,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16326,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16327,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16328,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I16329,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16330,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,-1,-1.0364,
I16331,JASPAR Predicted Transcription Factor Targets,1,null,
I16332,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,1,0.929843,
I16333,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16334,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16335,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16336,Pathway Commons Protein-Protein Interactions,1,null,
I16337,Pathway Commons Protein-Protein Interactions,1,null,
I16338,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.075653,
I16339,CCLE Cell Line Gene Expression Profiles,1,1.45188,
I16340,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16341,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16342,GTEx Tissue Sample Gene Expression Profiles,1,1.05629,
I16343,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16344,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.90093,
I16345,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16346,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16347,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16348,GTEx Tissue Sample Gene Expression Profiles,-1,-1.02281,
I16349,GeneRIF Biological Term Annotations,1,null,
I16350,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16351,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16352,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.315861,
I16353,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.046148,
I16354,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16355,BioGPS Human Cell Type and Tissue Gene Expression Profiles,-1,-0.836726,
I16356,GTEx Tissue Sample Gene Expression Profiles,1,0.936732,
I16357,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.244696,
I16358,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.4034,
I16359,,,,
I16360,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16361,MotifMap Predicted Transcription Factor Targets,1,null,
I16362,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-0.845043,
I16363,LOCATE Curated Protein Localization Annotations,1,null,
I16364,Pathway Commons Protein-Protein Interactions,1,null,
I16365,ENCODE Histone Modification Site Profiles,1,null,
I16366,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16367,Klijn et al.,,,
I16368,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16369,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.39598,
I16370,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I16371,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16372,Klijn et al.,,,
I16373,Pathway Commons Protein-Protein Interactions,1,null,
I16374,MPO Gene-Phenotype Associations,1,null,
I16375,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.290295,
I16376,MiRTarBase microRNA Targets,1,null,
I16377,GTEx Tissue Sample Gene Expression Profiles,1,1.02864,
I16378,TargetScan Predicted Nonconserved microRNA Targets,1,0.965816,
I16379,CTD Gene-Disease Associations,1,1.02896,
I16380,CTD Gene-Disease Associations,1,1.0608,
I16381,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16382,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16383,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16384,Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles,-1,-0.949341,
I16385,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16386,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16387,ENCODE Transcription Factor Targets,1,null,
I16388,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16389,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.438658,
I16390,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16391,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16392,CTD Gene-Disease Associations,1,1.28734,
I16393,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16394,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16395,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16396,CCLE Cell Line Gene Expression Profiles,1,1.49155,
I16397,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16398,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16399,BioGPS Mouse Cell Type and Tissue Gene Expression Profiles,1,1.23083,
I16400,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16401,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16402,Pathway Commons Protein-Protein Interactions,1,null,
I16403,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16404,ENCODE Histone Modification Site Profiles,1,null,
I16405,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16406,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,-1,-1.07452,
I16407,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16408,GTEx Tissue Sample Gene Expression Profiles,1,1.38884,
I16409,ENCODE Transcription Factor Targets,1,null,
I16410,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.24701,
I16411,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.02444,
I16412,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16413,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.687592,
I16414,,,,
I16415,,,,
I16416,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16417,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16418,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16419,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.247852,
I16420,GTEx Tissue Sample Gene Expression Profiles,1,0.855751,
I16421,GTEx Tissue Sample Gene Expression Profiles,1,0.974947,
I16422,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.73658,
I16423,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16424,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.0961,
I16425,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.103661,
I16426,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16427,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.742976,
I16428,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16429,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.067354,
I16430,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16431,COSMIC Cell Line Gene Mutation Profiles,1,null,
I16432,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16433,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16434,CTD Gene-Disease Associations,1,1.21239,
I16435,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16436,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16437,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.46056,
I16438,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.05103,
I16439,CHEA Transcription Factor Targets,1,null,
I16440,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I16441,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,-1,-1.78261,
I16442,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16443,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16444,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.242983,
I16445,GTEx Tissue Sample Gene Expression Profiles,-1,-1.27664,
I16446,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16447,GeneSigDB Published Gene Signatures,1,null,
I16448,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16449,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16450,Pathway Commons Protein-Protein Interactions,1,null,
I16451,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16452,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16453,GTEx Tissue Sample Gene Expression Profiles,1,1.03144,
I16454,GeneRIF Biological Term Annotations,1,null,
I16455,GTEx Tissue Sample Gene Expression Profiles,1,0.985087,
I16456,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16457,GTEx Tissue Sample Gene Expression Profiles,-1,-0.858861,
I16458,Klijn et al.,,,
I16459,GTEx Tissue Sample Gene Expression Profiles,1,0.942698,
I16460,GEO Signatures of Differentially Expressed Genes for Viral Infections,1,1.7655,
I16461,Pathway Commons Protein-Protein Interactions,1,null,
I16462,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16463,CTD Gene-Disease Associations,1,1.09506,
I16464,GTEx Tissue Sample Gene Expression Profiles,1,2.42265,
I16465,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.05867,
I16466,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.35892,
I16467,ENCODE Histone Modification Site Profiles,1,null,
I16468,COSMIC Cell Line Gene Mutation Profiles,1,null,
I16469,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16470,GTEx Tissue Sample Gene Expression Profiles,-1,-1.24504,
I16471,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.21747,
I16472,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16473,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16474,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.668345,
I16475,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16476,CTD Gene-Disease Associations,1,1.33464,
I16477,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16478,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16479,KnockTF Gene Expression Profiles with Transcription Factor Perturbations,1,1.5034,
I16480,ENCODE Histone Modification Site Profiles,1,null,
I16481,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16482,Tabula Sapiens Gene-Cell Associations,1,-0.0936432,
I16483,BioGPS Human Cell Type and Tissue Gene Expression Profiles,1,1.09427,
I16484,Pathway Commons Protein-Protein Interactions,1,null,
I16485,CHEA Transcription Factor Targets,1,null,
